curr: 4.0, min: 3.924001758189268, max: 4.0
curr: 3.9999999999999996, min: 3.924001731978633, max: 3.9999999999999996
curr: 4.0, min: 3.924001758189268, max: 4.0
curr: 3.9999999999999996, min: 3.924001731978633, max: 3.9999999999999996
curr: 4.0, min: 3.924001758189268, max: 4.0
curr: 3.9999999999999996, min: 3.924001731978633, max: 3.9999999999999996
curr: 3.9999999999999996, min: 3.924001731978633, max: 3.9999999999999996
curr: 3.9999999999999996, min: 3.924001731978633, max: 3.9999999999999996
curr: 3.9999999999999996, min: 3.924001731978633, max: 3.9999999999999996
curr: 3.9999999999999996, min: 3.924000088426321, max: 3.9999999999999996
curr: 3.9999999999999996, min: 3.9240000174107856, max: 3.9999999999999996
curr: 3.9999999999999996, min: 3.924000007319069, max: 3.9999999999999996
